course_id,courses_title,courses_description,category,sub_category
4105,Disrespect in the Workplace,"Learners will examine the negative impact of disrespect in the workplace and how it can undermine relationships, collaboration, and productivity. 

Learner Rubric:

Recognize how disrespectful behavior—both overt and subtle—affects workplace dynamics and morale.
Identify common examples of disrespect, such as exclusion, interruptions, and undermining, and understand their impact on individuals and teams.",Workforce Essentials,Phase 1: Must Haves
726,Divergent Thinking,"At the end of this lesson, you will understand:

• What divergent thinking is and how it differs from convergent thinking;
• The value of using divergent thinking and creativity to solve complex problems that don't have a clear solution;
• The importance of using both convergent and divergent thinking to solve problems;
• Everybody, including you, can work to become better at divergent thinking",Social & Emotional Learning,Global Awareness
748,Diverse Perspectives,"At the end of this lesson, you will understand:

• What it means to have diverse perspectives, & why people have them;
• The importance of diverse perspectives;
• How different perspectives can be used to discover the truth;
• What groupthink is, its disadvantage, & how to overcome it",Social & Emotional Learning,Social Awareness
3181,"Diverse Perspectives: One Perspective, One Puzzle Piece","This supporting video illustrates how a puzzle can be a great metaphor for seeking diverse perspectives to understand the real picture.  Additionally, this video covers a group activity designed to teach this lesson.",Leadership Series,Diverse Perspectives
2851,Diverse Perspectives: Perspective vs Reality,Understand how our perspective shapes our view on reality.,Leadership Series,Diverse Perspectives
2721,Diverse Perspectives Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the Diverse Perspectives workshop.

Click on Train the Trainer presentation link for Diverse Perspectives here:
https://drive.google.com/drive/folders/1W0KPnrhPeDgIQX4fFRG85ZSHFT4n4gGG?usp=drive_link

Key Takeaways:
https://drive.google.com/drive/u/0/folders/1W0KPnrhPeDgIQX4fFRG85ZSHFT4n4gGG

Make a copy of the presentation and follow along while watching the digital training lesson.",Leadership Series,Diverse Perspectives
670,"Education, Child Development, & Family Services","You will learn how the education, child development and family services industry sector impacts our community and the world as a whole.  This lesson will cover a short history and show examples of what the education, child development and family services industry sector provides the world.",Industry Exploration,Industries
738,"Education, Child Development, & Family Services (MUSD)",Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
777,"Education, Child Development, & Family Services (PRJUSD)",Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
804,Education Choices Prototype,Prototype for Life After High School covering colleges/universities.,Life After High School,Grade 10
805,Education Preparation Prototype,This is a prototype of LAHS. This lesson will cover the things that must be prepared after high school.,Life After High School,Grade 11
656,Effective Listening,"At the end of this lesson, you will understand:

• The difference between hearing & listening;
• The value of listening for both words & context;
• How to listen effectively & improve your listening skills",Social & Emotional Learning,Relationship Skills
2686,eHigh eProgression 9th Grade Exam,eHigh Drat Grade level Assessment,Resources,Education
2885,EI & FoW: Continuous Improvement,"In this supporting video, understand the importance of adaptability and continuous improvement in today's workplace.",Leadership Series,EI and Future of Work
3610,EI&FoW: EI Skills Assessment,"In this supporting lesson, learn how to assess your soft skills strengths and weaknesses.",Leadership Series,EI and Future of Work
2818,EI & FoW: Hard Thing About a Soft Skills Gap,"In this supporting video, explore the soft skills gap.  Understand what it is and why it's important to address.",Leadership Series,EI and Future of Work
1102,Emergency Scenario Topics,This lesson covers a variety of emergency scenarios related to providing first aid and life-saving techniques.,Workplace Skills,Health
1336,Emotional Awareness,"In this lesson, learners will go over what emotions are, why it's important to be aware of them, and how to be more emotionally aware in order to manage it in a healthy way.

Developing: Understand that there are layers of emotions and both positive and negative emotions are important.
Applying: Be able to identify one's own emotions.
Exemplary: Be able to identify emotions in oneself and others.

Worksheet
drive.google.com/file/d/126h3Cu7b3xCPUJB_4LfmQ3wvCToZdg6S/view",Social & Emotional Learning,Social Awareness
2722,Emotional Intelligence and the Future of Work Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the Emotional Intelligence and the Future of Work workshop.

Click on Train the Trainer presentation link for Emotional Intelligence and the Future of Work here: https://drive.google.com/drive/folders/1ZQjkBgoxLMkOqIrPGmjPehpsAD25pmC7?usp=drive_link

Make a copy of the presentation and follow along while watching the digital training lesson.
Key Take aways:
https://drive.google.com/drive/u/0/folders/1ZQjkBgoxLMkOqIrPGmjPehpsAD25pmC7",Leadership Series,EI and Future of Work
1366,Emotion Regulation,"In this lesson, participants will learn about emotions, how to regulate them, and understand how emotions impact our lives.

Worksheet
https://drive.google.com/file/d/1jgU2VZu_8D_0XfEvWtdHMY6BCTgbtA9S/view

Learning Rubric
Developing: Be able to define emotion regulation.
Applying: Know the model and connection between thoughts, feelings, and behavior.
Exemplary: Be able to apply this model for oneself and others.",Social & Emotional Learning,Self-Management
4534,Emotions in the Body,"This lesson helps students recognize how emotions physically affect their breathing and body. Through mindful observation, they will learn to identify and name their emotions, helping them regain control in tense moments.

Learner Rubric:
Observe how emotions change breathing by comparing different breathing patterns.
Recognize body sensations that signal different emotions, such as tension, heaviness, or energy.
Practice naming emotions based on body cues to increase emotional awareness and decision-making.",Life Ready Skills,Mindfulness
3314,Empathetic Interrogation: Build Trust and Safety,"In this supporting video, learn how focusing on building trust and a safe environment contribute greatly to minimizing conflict but also aiding in effective conflict resolution.",Leadership Series,Empathetic Interrogation
2917,Empathetic Interrogation: Empathy Funnel,"In this supporting video, learn a technique to effectively approach conflict resolution.  The stages of the empathy funnel are detailed and examples provided on how to apply.",Leadership Series,Empathetic Interrogation
3182,Empathetic Interrogation: Examples,This supporting video highlights several real-world examples of the Empathetic Interrogation approach and how to apply the Empathy Funnel to resolve conflict.,Leadership Series,Empathetic Interrogation
3478,Empathetic Interrogation: Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the Empathetic Interrogation workshop.

Click on Train the Trainer presentation folder link for Empathetic Interrogation here: 
https://drive.google.com/drive/u/0/folders/1lPNuj53fdzf3XH_ZjwUFda_o1CBtrutd

Make a copy of the presentation and follow along while watching the digital training lesson

Handout and Key Takeaways: 
https://drive.google.com/drive/u/0/folders/1lPNuj53fdzf3XH_ZjwUFda_o1CBtrutd",Leadership Series,Empathetic Interrogation
1300,Empathy,"What exactly is empathy and why is it important? It's the ability to ""feel"" or “imagine” another person’s emotional experience. In this lesson, you'll learn about two kinds of empathy (emotional and cognitive) and how to do each.

Learning Rubric
Developing: Ability to define empathy 
Applying: Ability to define emotional and cognitive empathy and apply at least one. 
Exemplary: Ability to express and apply both emotional and cognitive empathy consistently

Worksheet:
drive.google.com/file/d/1hAtmDHtlKIn5dT1btH2oJgg73Xbe3bHD",Social & Emotional Learning,Relationship Skills
657,Empathy's Impact,"At the end of this lesson, you will understand:

• What empathy is;
• The difference between cognitive & emotional empathy;
• How empathy is related to collaboration & relationship building;
• What mirror neurons are and how they relate to empathy;
• How to use empathy to work toward a meaningful & happy existence",Social & Emotional Learning,Social Awareness
653,Engagement,"At the end of this lesson, you will understand:

• What it means to be happy;
• What social engagement is, & how it's related to generosity & happiness;
• How to become socially engaged & have an impact on the world",Social & Emotional Learning,Ethical Decision Maker
1499,Engineering and Architecture (MUSD),"In this lesson, students will learn about the Engineering and Architecture Pathway. Specifically, what the pathway is about, what students will learn, who can benefit from this pathway, and what tangible things students can takeaway after they complete the pathway.",Local Paths,Madera Unified School District
671,Engineering & Architecture,You will learn how the engineering and architecture industry sector impacts our community and the world as a whole.  This lesson will cover a short history and show examples of what the engineering and architecture industry sector provides the world.,Industry Exploration,Industries
772,Engineering & Design (PRJUSD),Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
820,English: Rhetoric,Learners will be able to identify the elements of a rhetorical situation and how to apply it.,Core Skills,Humanities
744,Ethics,"At the end of this lesson, you will understand:

• What ethics are and why they’re important;
• The difference between utilitarian & categorical imperative perspectives, & their value in ethical reasoning; 
• How to use ethics in your own decision-making",Social & Emotional Learning,Ethical Decision Maker
788,Etiquette,You will learn about different types of etiquette and manners and their social importance.,Soft Skills,Reasoning
7,Exploration – Agriculture & Natural Resources,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Agriculture and Natural Resources industries.",Career Pathways,Exploration
8,"Exploration – Arts, Media, & Entertainment","This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Arts, Media, & Entertainment industries.",Career Pathways,Exploration
10,Exploration – Building Trades & Construction,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Building Trades & Construction industries.",Career Pathways,Exploration
11,Exploration – Business & Finance,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Business & Finance industries.",Career Pathways,Exploration
12,"Exploration – Education, Child Development, & Family Services","This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the ECD and Family Services industries.",Career Pathways,Exploration
13,Exploration – Energy & Utilities,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Energy and Utilities industries.",Career Pathways,Exploration
14,Exploration – Engineering & Design,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Engineering & Design industries.",Career Pathways,Exploration
15,Exploration – Fashion & Interior Design,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Fashion and Interior Design industries.",Career Pathways,Exploration
16,Exploration – Health Science & Medical Technology,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Health Science & Medical Technology industries.",Career Pathways,Exploration
135,"Exploration – Hospitality, Tourism, & Recreation","This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Hospitality, Tourism & Recreation industries.",Career Pathways,Exploration
146,Exploration – Information Technology,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Information Technology industries.",Career Pathways,Exploration
431,Exploration – Manufacturing & Product Development,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Manufacturing & Product Development industries.",Career Pathways,Exploration
148,"Exploration – Marketing, Sales & Service","This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Marketing, Sales & Service industries.",Career Pathways,Exploration
149,Exploration – Public Services,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Public Services industry.",Career Pathways,Exploration
151,Exploration – Transportation,"This section will help learn about jobs, pathways to those jobs and what to expect when you begin working in the Transportation industry.",Career Pathways,Exploration
789,Eye Contact,You will learn about how to make eye contact and why it is important.,Soft Skills,Behaviors
3908,Eye Contact in the Workplace,"In this lesson, learners will explore the importance of eye contact in workplace communication, supported by research and actionable steps for improvement.

Learning Rubric

Define the role of eye contact in communication.
Apply strategies for maintaining eye contact in one-on-one and group settings.
Adapt their eye contact approach to cultural and situational contexts while fostering trust and engagement.",Workforce Essentials,Phase 1: Must Haves
4336,Facing Failure,"This lesson helps students reframe failure as a learning opportunity rather than a setback. They will explore how a growth mindset allows them to embrace challenges, build resilience, and persist through obstacles.
Learner Rubric 
Redefine failure as a temporary setback and a necessary part of learning and growth.
Apply mindset shifts by seeing failure as a learning opportunity, speaking up when struggling, and focusing on progress over perfection.
Develop resilience by practicing strategies to overcome setbacks & adapt to challenges.",Life Ready Skills,Mindset
652,Fairness & Justice,"At the end of this lesson, you will understand:

• The difference between fairness & justice;
• Why it's important to think about both fairness & justice;
• How perceptions of what's ""fair"" & ""just"" can vary across different people",Social & Emotional Learning,Ethical Decision Maker
790,Feedback,You will learn about how to provide constructive feedback.,Soft Skills,Reasoning
840,Financial Literacy,Learners will understand the importance of financial health by learning about balancing budgets and how to manage credit and debit to build a lifelong skill.,Soft Skills,Financial Literacy
745,Finding Knowledge,"At the end of this lesson, you will understand:

• The importance of open-mindedness;
• The shortcomings of experiences and memories as reliable information sources; 
• The difference between beliefs & facts—believing vs. knowing;
• How to use evidence to judge the accuracy of facts",Social & Emotional Learning,Global Awareness
4766,Finding Purpose,"In this lesson, learners will learn about purpose, what it is and isn’t, and how to develop it in a step-by-step process.

Learner Rubric: 
Students will define the concept of purpose.

Students will explain what purpose is and isn’t, and begin identifying personal areas of focus.

Students will outline steps to develop their purpose and identify where to begin.",Life Ready Skills,Finding Purpose
4666,Finding your Strengths,"In this lesson, students will learn that strengths often reveal themselves in moments of challenge, unfamiliarity, or growth. Students will uncover hidden skills and character traits that help shape their confidence and identity.

Learner Rubric:
Reflect on a personal challenge or new experience to identify hidden strengths.
Distinguish between skills (what they can do) and character traits (who they are).
Recognize how their strengths an guide future decisions, goals, and personal development.",Life Ready Skills,Well Being and Decision Making
134,First Steps In Exploration,The Career Pathways series offers students an opportunity to explore several different industry sectors and consider the possibilities of a rewarding career in each area.,Career Pathways,Introduction
4369,Fixed vs Growth Mindset,"This lesson introduces students to the power of mindset and how it shapes their thoughts, actions, and success. They will explore the difference between a fixed and growth mindset and how shifting their perspective can lead to personal growth.
Lesson Rubric:
Define mindset and recognize how beliefs influence their abilities and potential.
Differentiate between a fixed and growth mindset by analyzing how each impacts responses to challenges.
Apply growth mindset principles to reframe setbacks as opportunities for learning and success.",Life Ready Skills,Mindset
4633,Flaws When Developing Curriculum,"In this lesson, you will learn about how the curse of knowledge and the illusion of completion can make your writing seem clearer than it actually is—and how to spot these hidden gaps so your message truly connects with learners.",_IMAGO Academy,Tutorials
860,Floor Buffing,"Training in the cleaning of offices, classrooms, and restrooms for employment in schools, hospitals, and private industry, including floor care, scrubbing, buffing, and finishing. Dry foam cleaning and extraction cleaning of carpets will be covered as well as cleaning of walkways and buildings.",Workplace Skills,Custodial
826,Floral Design Careers,Learners will explore some of the possible career choices within the agriculture industry. Learners will be able to identify careers within the agriculture industry that they may be interested in.,Career Dives,Agriculture
1928,From Elementary to Middle School,"Learners will understand how middle school differs from elementary school in terms of structure, responsibilities, and opportunities. They will gain practical steps to prepare for their first day in middle school.

Learning Rubric
Beginning: Learners will understand what middle school will be like and the differences from elementary
Applying: Learners will have questions about middle school ready and answered.
Exemplary: Learners will be better prepared for middle school.",Academic Planning,Planning
850,Giving Feedback,"This lesson introduces an exercise called “I Delta O”. It's a way for people to provide quick feedback about projects, events, products, and services. At the end of this lesson, participants will be able to utilize this process to give useful and detailed feedback.",Up Skills,Relationship Skills
871,Glass Cleaning & Window Washing,"Training in the cleaning of offices, classrooms, and restrooms for employment in schools, hospitals, and private industry, including floor care, scrubbing, buffing, and finishing. Dry foam cleaning and extraction cleaning of carpets will be covered as well as cleaning of walkways and buildings.",Workplace Skills,Custodial
3313,GOATRACE Examples,Step by step guide through the GOATRACE technique using real-world examples from both a professional and personal scenario.,Leadership Series,"Everyday Leadership Tools (Goatrace, IΔO & 24/7)"
3479,GOATRACE: Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the GOATRACE workshop.

Click on Train the Trainer presentations folder link for GOATRACE here:
https://drive.google.com/drive/u/0/folders/1bZHvqi3LKyPPJnHHrVDRHH3i_M1LuAB4
Key Takeaways: 
https://drive.google.com/drive/u/0/folders/1bZHvqi3LKyPPJnHHrVDRHH3i_M1LuAB4
Make a copy of the presentation and follow along while watching the digital training lesson.",Leadership Series,"Everyday Leadership Tools (Goatrace, IΔO & 24/7)"
3247,GOATRACE: What is GOATRACE,Step by step breakdown of the individual steps in GOATRACE.,Leadership Series,"Everyday Leadership Tools (Goatrace, IΔO & 24/7)"
3115,GOATRACE: Where to Apply,"In this supporting video, learn where to apply the GOATRACE tool to drive better engagement, understanding and results.  Explore examples of GOATRACE in personal and work settings.",Leadership Series,"Everyday Leadership Tools (Goatrace, IΔO & 24/7)"
3808,Golden Practice: Growth Mindset,"This lesson will help participants define a growth mindset and identify steps to developing one.

Learning Rubric
Developing: Be able to define what a growth mindset is.
Applying: Be able to identify steps to developing a growth mindset.
Exemplary: Be able to differentiate a growth and fixed mindset and develop grit.",Archive,Other
487,Grade 07 - Education,"In this 7th grade Education course, we will help you explore options for continuing your education after high school.",Life After High School,Grade 07
488,Grade 07 - Employment,Have you ever thought about what kind of career you’d like to have when you’re grown up?,Life After High School,Grade 07
485,Grade 07 - Independent Living Skills,"As you get older it is important to know how to do things on your own, like keeping yourself safe and healthy, taking care of things around the house, and understanding how to interact with the people around you.",Life After High School,Grade 07
486,Grade 07 - Self-Advocacy,"This self-awareness is important for making plans as you get older, because your goals should be both challenging and realistic, and there may be things others can do to help you achieve them.",Life After High School,Grade 07
489,Grade 08 - Education,This 8th Grade Education course will help you consider classes that will prepare you for your post-secondary plans.,Life After High School,Grade 08
490,Grade 08 - Employment,Have you ever thought about what kind of career you’d like to have when you’re grown up?,Life After High School,Grade 08
491,Grade 08 - Independent Living Skills,"As you get older it is important to know how to do things on your own, like keeping yourself safe and healthy, taking care of things around the house, and understanding how to interact with the people around you.",Life After High School,Grade 08
492,Grade 08 - Self Advocacy,"This self-awareness is important for making plans as you get older, because your goals should be both challenging and realistic, and there may be things others can do to help you achieve them.",Life After High School,Grade 08
493,Grade 09 - Education,This 9th Grade Education course will help you consider classes that will prepare you for your post-secondary plans.,Life After High School,Grade 09
494,Grade 09 - Employment,Have you ever thought about what kind of career you’d like to have when you’re grown up?,Life After High School,Grade 09
495,Grade 09 - Independent Living Skills,"As you get older it is important to know how to contribute to your household including helping with cooking and cleaning.  These skills will help you gain independence now, and become self-sufficient in the future.",Life After High School,Grade 09
496,Grade 09 - Self-Advocacy,This year in the 9th grade Self-Advocacy course you will learn more about the advantages and disadvantages of disclosing your disability to others. You will also be introduced to the Individual Transition Plan and how it affects your life after high school.,Life After High School,Grade 09
497,Grade 10 - Education,This 10th grade Education course will help you understand the relationship between your education and employment goals as you continue to prepare for your future.,Life After High School,Grade 10
498,Grade 10 - Employment,Have you ever thought about what kind of career you’d like to have when you’re grown up?,Life After High School,Grade 10
499,Grade 10 - Independent Living Skills,"In the 10th grade Independent Living Skills course, you will learn about the importance of using social media in safe, responsible ways.",Life After High School,Grade 10
500,Grade 10 - Self-Advocacy,In the 10th grade Self-Advocacy course you will learn more about what success means to you and the actions you can put into place in your Individual Transition Plan.,Life After High School,Grade 10
501,Grade 11 - Education,This year in the 11th grade Education course we will talk about the steps you need to take to come closer to your post-secondary education goals.,Life After High School,Grade 11
502,Grade 11 - Employment,This course will describe the benefits of volunteering in your desire career field.,Life After High School,Grade 11
505,Grade 11 - Independent Living Skills,"In the 11th grade Independent Living Skills course, you will learn about the importance of using social media in safe, responsible ways.",Life After High School,Grade 11
506,Grade 11 - Self-Advocacy,In the 11th grade Self-Advocacy course we will discuss the importance of expanding your support circle and the rights and responsibilities that come along with turning 18 years old.,Life After High School,Grade 11
507,Grade 12 - Education,This 12th grade Education course will help you understand the relationship between your education and employment goals as you continue to prepare for your future.,Life After High School,Grade 12
508,Grade 12 - Employment,Have you ever thought about what kind of career you’d like to have when you’re grown up?,Life After High School,Grade 12
512,Grade 12 - Financial Literacy,This 12th grade Financial Literacy course will help you understand the relationship between your education and employment goals as you continue to prepare for your future.,Life After High School,Grade 12
509,Grade 12 - Independent Living Skills,"In the 12th grade Independent Living Skills course, you will learn about the importance of using social media in safe, responsible ways.",Life After High School,Grade 12
510,Grade 12 - Self-Advocacy,In the 12th grade Self-Advocacy course you will learn more about what success means to you and the actions you can put into place in your Individual Transition Plan.,Life After High School,Grade 12
1531,Graduate Profile Elements for Learners,"In this lesson, you will learn about Madera Unified School District's Graduate Profile Elements. These are the skills students will learn, practice, and possess by graduation.

The district's Graduate Profile includes six elements: Think, Adapt, Communicate, Collaborate, Produce, and Contribute.",Social & Emotional Learning,Global Awareness
1564,Graduate Profile Elements for Parents,"In this lesson, you will learn about Madera Unified School District's Graduate Profile Elements. These are the skills students will learn, practice, and possess by graduation.

The district's Graduate Profile includes six elements: Think, Adapt, Communicate, Collaborate, Produce, and Contribute.",Social & Emotional Learning,Global Awareness
1252,Graduation Requirements Yog Dab Tsi?,"In this lesson, we'll cover graduation requirements and how students can graduate from high school. In total, students must earn 230 credits from 9th-12th grade. By doing so, they become eligible for graduation.

Hauv zaj lus qhia no, peb yuav hais txog kev kawm tiav thiab yuav ua li cas cov tub ntxhais kawm tuaj yeem kawm tiav high school. Nyob rau hauv tag nrho, cov tub ntxhais kawm yuav tsum tau 230 qhab nia ntawm qib 9-12. Los ntawm kev ua li ntawd, lawv tau tsim nyog rau kev kawm tiav.",Academic Planning,Graduation Requirements
4237,Greetings: Handshake,"In this lesson participants will learn about greetings and how handshakes can be a way for building relationships.

Beginning: Participants will be able to explain what greetings are. 
Applying: Participants will be able to demonstrate a way to greet. Exemplary: Participants will be able to demonstrate a handshake paired with other greetings.",Workforce Essentials,Phase 1: Must Haves
1333,Growth Mindset,"This lesson will help participants define a growth mindset and identify steps to developing one.

Learning Rubric
Developing: Be able to define what a growth mindset is.
Applying: Be able to identify steps to developing a growth mindset.
Exemplary: Be able to differentiate a growth and fixed mindset and develop grit.

Worksheet
https://drive.google.com/file/d/1AYu8gYyyrHNj4EuauvoplgJiKZSuIIx8/view",Social & Emotional Learning,Self-Management
869,Gym Floor Maintenance,"Gym floors, even when they sit untouched, get dirty every day. This is due to the dirt and dust that naturally circulate in the air and settle on the floor. Daily care of a gym floor involves at least dust mopping daily — regardless of how often anyone steps foot on the flooring — and damp mopping as needed. In this lesson, we’ll cover what you’ll need for cleaning gym floors and the process.",Workplace Skills,Custodial
791,Handshake,You will learn how to give a good handshake and why it is important.,Soft Skills,Behaviors
872,Hard Floor Maintenance,"Training in the cleaning of offices, classrooms, and restrooms for employment in schools, hospitals, and private industry, including floor care, scrubbing, buffing, and finishing. Dry foam cleaning and extraction cleaning of carpets will be covered as well as cleaning of walkways and buildings.",Workplace Skills,Custodial
1107,Hazardous Materials Transportation,This lesson will review all of the Hazardous Materials Transportation guidelines for certification prep.,Workplace Skills,Operations
760,Health Administrator,"Medical and health services managers, also called healthcare executives or healthcare administrators, plan, direct, and coordinate medical and health services. They might manage an entire facility, a specific clinical area or department, or a medical practice for a group of physicians. Medical and health services managers must direct changes that conform to changes in healthcare laws, regulations, and technology.",Career Dives,Health Science & Medical Technology
761,Health Educator,Health educators teach people about behaviors that promote wellness. They develop and implement strategies to improve the health of individuals and communities. Community health workers collect data and discuss health concerns with members of specific populations or communities.,Career Dives,Health Science & Medical Technology
672,Health Science & Medical Technology,You will learn how the health science and medical technology industry sector impacts our community and the world as a whole.  This lesson will cover a short history and show examples of what the health science and medical technology industry sector provides the world.,Industry Exploration,Industries
740,Health Science & Medical Technology (MUSD),Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
779,Health Science & Medical Technology (PRJUSD),Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
970,Helping a Child With Depression,"In this lesson we will go over how to help identify depression, manage it in healthy ways,  and when to seek professional help.",Family Wellness,For Adults
905,Helping a Child With Depression_Old,"As children grow older, their bodies and minds will go through developmental stages. Throughout these transitions, you will notice physical, mental, and social changes in your child. For instance, they may seek more exciting social and romantic experiences and develop new habits and personality traits. This is normal and all part of life.",Archive,Other
2983,Hero's Journey: Applications,Learn how to apply Hero's Journey in this supporting video.  Several real-world applications are explored in detail.,Leadership Series,Hero's Journey
2785,Hero's Journey: Shaping Inner Voices,"In this supporting video, learn the power of your inner voice. Discuss three approaches to shape your inner voice for more positive outcomes.",Leadership Series,Hero's Journey
3511,Hero's Journey Training,"At the end of this training, participants will walk away with a better understanding of how to facilitate the Hero's Journey workshop.

Click on Train the Trainer presentation folder link for Hero's Journey here:
https://drive.google.com/drive/u/0/folders/1HlTMHZ0StfH-IFAuNpGu5ylujGaTUW4W

Make a copy of the presentation and follow along while watching the digital training lesson.

Hero's Journey half-sheet and Key Takeaways:
https://drive.google.com/drive/u/0/folders/1HlTMHZ0StfH-IFAuNpGu5ylujGaTUW4W",Leadership Series,Hero's Journey
3280,Hero's Journey: What is Hero's Journey,"In this supporting video, learn what Hero's Journey is and understand the different stages along the journey.",Leadership Series,Hero's Journey
743,Heuristics,"At the end of this lesson, you will understand:

• What heuristics are and how they can lead to unintended consequences;
• The value of recognizing and accepting when you're wrong;
• The importance of being aware of the heuristics you use;
• How to avoid the unintended consequences of your heuristics",Social & Emotional Learning,Self-Awareness
816,Heuristics (Up Skills),"In this lesson, learners will understand what heuristics are and be able to identify several heuristics they have.",Up Skills,Self-Awareness
1301,Hopefulness,"What does it mean to be hopeful? In this lesson, we'll dive into a step-by-step process to become more hopeful anywhere you go. After this lesson, learners will be able to plan their future goals, create action plans, and build a mindset for a hopeful future. 

Learner Rubric
Developing: Know the definition of hope.
Applying: Know the step-by-step process of developing hope.
Exemplary: Be able to apply hopeful steps in their life.

Worksheet:
drive.google.com/file/d/1FFo_BSBBd4HhPaIDH2ZsLPVXIqycqcWR",Social & Emotional Learning,Self-Management
1500,Hospitality: Culinary Arts (MUSD),"In this lesson, students will learn about the Culinary Arts Pathway. Specifically, what the pathway is about, what students will learn, who can benefit from this pathway, and what tangible things students can takeaway after they complete the pathway.",Local Paths,Madera Unified School District
754,Hospitality & Tourism (PRJUSD),Local spotlight lessons on Paso Robles Joint Unified School District Pathways.,Local Paths,Paso Robles Joint Unified School District
673,"Hospitality, Tourism, & Recreation","You will learn how the hospitality, tourism and recreation industry sector impacts our community and the world as a whole.  This lesson will cover a short history and show examples of what the hospitality, tourism and recreation industry sector provides the world, this includes culinary arts.",Industry Exploration,Industries
737,"Hospitality, Tourism, & Recreation (MUSD)",Local spotlight lessons on Madera Unified School District Pathways.,Local Paths,Madera Unified School District
2192,How to Adapt,"In this lesson, participants will learn about adapting and the behaviors and mindsets needed to adapt well.

Beginning: Learners will be able to define what adapt is.
Applying: Learners will be able to identify steps to becoming more adaptable.
Exemplary: Learners will be able to adapt to new challenges by reflecting and growing.",Social & Emotional Learning,Self-Management
1126,How to Answer Behavioral Interviews,"The questions that are asked and your answers are intended to be indicative of your past behavior. So, when answering behavioral-based interview questions, examine the question. This lesson can help you narrate a meaningful and personalized interview answer that best demonstrates your qualifications.",Work Skills,Preparation
3875,How to Be Adaptable,"In this lesson learners will understand the importance of being flexible and open to change in a rapidly evolving work environment.

Learner Rubric:

Understand the importance of adaptability in responding to changes in workplace demands, technology, and industry trends.
Demonstrate the ability to adjust to new tasks and challenges by developing flexible problem-solving strategies.
Apply adaptability skills to navigate changes in workflow, technology, and team dynamics with confidence and resilience.",Workforce Essentials,Phase 3: Teamwork
3876,How to be Culturally Aware,"Learners will develop skills to navigate diverse cultural perspectives, understand how diverse backgrounds influence communication, values, and workplace interactions.

Learner Rubric: 
Understand cultural awareness in the workplace 
Enhance ability to engage with colleagues from different cultural backgrounds, promoting respect, empathy, and inclusivity in  workplace interactions.
Apply cultural awareness strategies to improve cross-cultural communication and collaboration, and creating a more inclusive workplace environment.",Workforce Essentials,Phase 3: Teamwork
3877,How to be Empathetic,"Learners will develop empathy as a key workplace skill, enabling them to build trust, strengthen relationships, and foster collaboration.

Learner Rubric: 

Understand the critical role of empathy in creating meaningful connections, enhancing teamwork, and improving workplace dynamics.
Demonstrate empathetic communication by actively listening, considering different perspectives, and responding with emotional intelligence and compassion.
Apply empathy to navigate workplace interactions effectively, resolve conflicts constructively.",Workforce Essentials,Phase 3: Teamwork
3878,How to be Self-Aware,"Learners will develop self-awareness to improve decision-making, emotional regulation, and workplace relationships. 

Learner Rubric: 

Understand personal emotions and behaviors, recognizing their impact on workplace interactions and performance.
Assess strengths, weaknesses, and triggers to cultivate mindfulness, adaptability, and intentional decision-making.
Apply self-awareness strategies to enhance emotional regulation,  improve communication, and foster stronger workplace relationships.",Workforce Essentials,Phase 3: Teamwork
3879,How to be Socially Aware,"Learners will develop social awareness to navigate diverse workplace interactions, fostering inclusivity and stronger professional relationships.

Learner Rubric:

Recognize and interpret the emotions, motivations, and behaviors of colleagues and clients to build understanding and trust.
Respond thoughtfully to diverse perspectives, adapting communication to promote inclusivity and collaboration.
Apply social awareness strategies to enhance teamwork, resolve conflicts, and create a positive, supportive workplace culture.",Workforce Essentials,Phase 3: Teamwork
